datetime,count,date,time
2023-12-25 00:00:00,0,2023-12-25,0
2023-12-25 01:00:00,0,2023-12-25,1
2023-12-25 02:00:00,0,2023-12-25,2
2023-12-25 03:00:00,0,2023-12-25,3
2023-12-25 04:00:00,0,2023-12-25,4
2023-12-25 05:00:00,0,2023-12-25,5
2023-12-25 06:00:00,4,2023-12-25,6
2023-12-25 07:00:00,4,2023-12-25,7
2023-12-25 08:00:00,4,2023-12-25,8
2023-12-25 09:00:00,3,2023-12-25,9
2023-12-25 10:00:00,3,2023-12-25,10
2023-12-25 11:00:00,1,2023-12-25,11
2023-12-25 12:00:00,1,2023-12-25,12
2023-12-25 13:00:00,1,2023-12-25,13
2023-12-25 14:00:00,4,2023-12-25,14
2023-12-25 15:00:00,3,2023-12-25,15
2023-12-25 16:00:00,3,2023-12-25,16
2023-12-25 17:00:00,3,2023-12-25,17
2023-12-25 18:00:00,3,2023-12-25,18
2023-12-25 19:00:00,1,2023-12-25,19
2023-12-25 20:00:00,1,2023-12-25,20
2023-12-25 21:00:00,1,2023-12-25,21
2023-12-25 22:00:00,0,2023-12-25,22
2023-12-25 23:00:00,0,2023-12-25,23
2023-12-26 00:00:00,0,2023-12-26,0
2023-12-26 01:00:00,0,2023-12-26,1
2023-12-26 02:00:00,0,2023-12-26,2
2023-12-26 03:00:00,0,2023-12-26,3
2023-12-26 04:00:00,0,2023-12-26,4
2023-12-26 05:00:00,0,2023-12-26,5
2023-12-26 06:00:00,4,2023-12-26,6
2023-12-26 07:00:00,3,2023-12-26,7
2023-12-26 08:00:00,2,2023-12-26,8
2023-12-26 09:00:00,2,2023-12-26,9
2023-12-26 10:00:00,2,2023-12-26,10
2023-12-26 11:00:00,1,2023-12-26,11
2023-12-26 12:00:00,1,2023-12-26,12
2023-12-26 13:00:00,1,2023-12-26,13
2023-12-26 14:00:00,3,2023-12-26,14
2023-12-26 15:00:00,3,2023-12-26,15
2023-12-26 16:00:00,3,2023-12-26,16
2023-12-26 17:00:00,3,2023-12-26,17
2023-12-26 18:00:00,2,2023-12-26,18
2023-12-26 19:00:00,0,2023-12-26,19
2023-12-26 20:00:00,0,2023-12-26,20
2023-12-26 21:00:00,0,2023-12-26,21
2023-12-26 22:00:00,0,2023-12-26,22
2023-12-26 23:00:00,0,2023-12-26,23
2023-12-27 00:00:00,0,2023-12-27,0
2023-12-27 01:00:00,0,2023-12-27,1
2023-12-27 02:00:00,0,2023-12-27,2
2023-12-27 03:00:00,0,2023-12-27,3
2023-12-27 04:00:00,0,2023-12-27,4
2023-12-27 05:00:00,0,2023-12-27,5
2023-12-27 06:00:00,4,2023-12-27,6
2023-12-27 07:00:00,4,2023-12-27,7
2023-12-27 08:00:00,3,2023-12-27,8
2023-12-27 09:00:00,3,2023-12-27,9
2023-12-27 10:00:00,3,2023-12-27,10
2023-12-27 11:00:00,2,2023-12-27,11
2023-12-27 12:00:00,2,2023-12-27,12
2023-12-27 13:00:00,2,2023-12-27,13
2023-12-27 14:00:00,4,2023-12-27,14
2023-12-27 15:00:00,3,2023-12-27,15
2023-12-27 16:00:00,3,2023-12-27,16
2023-12-27 17:00:00,3,2023-12-27,17
2023-12-27 18:00:00,3,2023-12-27,18
2023-12-27 19:00:00,3,2023-12-27,19
2023-12-27 20:00:00,2,2023-12-27,20
2023-12-27 21:00:00,1,2023-12-27,21
2023-12-27 22:00:00,0,2023-12-27,22
2023-12-27 23:00:00,0,2023-12-27,23
2023-12-28 00:00:00,0,2023-12-28,0
2023-12-28 01:00:00,0,2023-12-28,1
2023-12-28 02:00:00,0,2023-12-28,2
2023-12-28 03:00:00,0,2023-12-28,3
2023-12-28 04:00:00,0,2023-12-28,4
2023-12-28 05:00:00,0,2023-12-28,5
2023-12-28 06:00:00,4,2023-12-28,6
2023-12-28 07:00:00,3,2023-12-28,7
2023-12-28 08:00:00,3,2023-12-28,8
2023-12-28 09:00:00,2,2023-12-28,9
2023-12-28 10:00:00,2,2023-12-28,10
2023-12-28 11:00:00,2,2023-12-28,11
2023-12-28 12:00:00,2,2023-12-28,12
2023-12-28 13:00:00,2,2023-12-28,13
2023-12-28 14:00:00,3,2023-12-28,14
2023-12-28 15:00:00,3,2023-12-28,15
2023-12-28 16:00:00,2,2023-12-28,16
2023-12-28 17:00:00,2,2023-12-28,17
2023-12-28 18:00:00,2,2023-12-28,18
2023-12-28 19:00:00,2,2023-12-28,19
2023-12-28 20:00:00,2,2023-12-28,20
2023-12-28 21:00:00,2,2023-12-28,21
2023-12-28 22:00:00,0,2023-12-28,22
2023-12-28 23:00:00,0,2023-12-28,23
2023-12-29 00:00:00,0,2023-12-29,0
2023-12-29 01:00:00,0,2023-12-29,1
2023-12-29 02:00:00,0,2023-12-29,2
2023-12-29 03:00:00,0,2023-12-29,3
2023-12-29 04:00:00,0,2023-12-29,4
2023-12-29 05:00:00,0,2023-12-29,5
2023-12-29 06:00:00,4,2023-12-29,6
2023-12-29 07:00:00,4,2023-12-29,7
2023-12-29 08:00:00,3,2023-12-29,8
2023-12-29 09:00:00,2,2023-12-29,9
2023-12-29 10:00:00,2,2023-12-29,10
2023-12-29 11:00:00,2,2023-12-29,11
2023-12-29 12:00:00,2,2023-12-29,12
2023-12-29 13:00:00,2,2023-12-29,13
2023-12-29 14:00:00,5,2023-12-29,14
2023-12-29 15:00:00,3,2023-12-29,15
2023-12-29 16:00:00,3,2023-12-29,16
2023-12-29 17:00:00,2,2023-12-29,17
2023-12-29 18:00:00,2,2023-12-29,18
2023-12-29 19:00:00,2,2023-12-29,19
2023-12-29 20:00:00,2,2023-12-29,20
2023-12-29 21:00:00,2,2023-12-29,21
2023-12-29 22:00:00,2,2023-12-29,22
2023-12-29 23:00:00,1,2023-12-29,23
2023-12-30 00:00:00,0,2023-12-30,0
